data gatherer,Genus,Species,Family,Realm,Kingdom,Phylum,Class,Order,"maximum body size (SVL, HBL, cm)",Source for maximum body size,notes on body size (e.g. type of metric),Trophic position,Source/logic for trophic position,migratory?,source/logic for migration info,dispersal distance category,logic/source for dispersal distance,dispersal type (walking may need to be reworded to something that encaptures slithering),logic/source for dispersal type,cold season dormancy?,source/logic for cold season dormancy,notes for cold season dormancy,hot season dormancy?,source/logic for hot season dormancy,notes for hot season dormancy,highland specialist,source/logic for highland specialist,Pelagic habitat (for marine species),source/logic for pelagic habitat,notes,genus_species,limit_type
Sally,Periophthalmus,kalolo,Gobiidae,Intertidal,Animalia,Chordata,Actinopterygii,Perciformes,14.1,fishbase,TL male/unsexed,carnivore,fishbase,Non-migratory,fishbase,10-100,"PLD in genus 30-50 days, intertidal species with planktonic larvae - Ansari, A. A., Trivedi, S., Saggu, S., & Rehman, H. (2014). Mudskipper: A biological indicator for environmental monitoring and assessment of coastal waters. Journal of Entomology and Zoology Studies, 2(6), 22-33.",pelagic development and crawling adults,"guess, pelagic planktonic larval stage in genus - Ansari, A. A., Trivedi, S., Saggu, S., & Rehman, H. (2014). Mudskipper: A biological indicator for environmental monitoring and assessment of coastal waters. Journal of Entomology and Zoology Studies, 2(6), 22-33.",No,unheard of for fish,,No,unheard of for fish,,non-highland specialist,intertidal,reef-associated,,NA,Periophthalmus_kalolo,"max, min"
Jenn,Patiriella,brevispina,Asterinidae,Intertidal,Animalia,Echinodermata,Asteroidae,Valvatida,5.2,Dartnall (1969) Papers and Proceedings of the Royal Society of Tasmania 104: 73-77,"maximum length, indeterminate growth",omnivore,filter feeding,Non-migratory,taxa,1-10,"pelagic lecithotrophic larvae of unk duration - Foltz, D. W. (2003). Invertebrate species with nonpelagic larvae have elevated levels of nonsynonymous substitutions and reduced nucleotide diversities. Journal of molecular evolution, 57(6), 607-612.",pelagic development and crawling adults,"pelagic lecithotrophic larvae - Foltz, D. W. (2003). Invertebrate species with nonpelagic larvae have elevated levels of nonsynonymous substitutions and reduced nucleotide diversities. Journal of molecular evolution, 57(6), 607-612.",No,no info - based on taxa,,No,no info - based on taxa,,non-highland specialist,intertidal,benthic,,NA,Patiriella_brevispina,max
Jenn,Mytilus,edulis,Mytilidae,Intertidal,Animalia,Mollusca,Bivalvia,Mytiloida,4,Kautsky (1982) Marine Biology 68: 117–133 ,"maximum shell length, indeterminate growth",omnivore,filter feeding bivalve,Non-migratory,sessile,10-100,"larval stage 3-5 weeks, benthic species with planktonic larvae - also Coolen et al. (2020) Molecular Ecology 29(4): 686-703",pelagic development and sessile adults,"pelagic larval stage - Filgueira, R., Brown, M. S., Comeau, L. A., & Grant, J. (2015). Predicting the timing of the pediveliger stage of Mytilus edulis based on ocean temperature. Journal of Molluscan Studies, 81(2), 269-273.",No,unheard of for marine bivalves,,No,unheard of for marine bivalves,,non-highland specialist,intertidal,benthic,,NA,Mytilus_edulis,"max, min"
Jenn,Barbatia,pistachia,Arcidae,Intertidal,Animalia,Mollusca,Bivalvia,Pteriomorpha,4.482,Compton et al. (2008) Journal of Experimental Marine Biology and Ecology 361(2): 104-110 ,mean shell length,omnivore,filter feeding bivalve,Non-migratory,sessile,10-100,"planktonic larval stage in genus thought to be ~1 month, benthic species with planktonic larvae (Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87)",pelagic development and sessile adults,planktonic larval stage in genus - Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87,No,unheard of for marine bivalves,,No,unheard of for marine bivalves,,non-highland specialist,intertidal,benthic,,NA,Barbatia_pistachia,"max, min"
Jenn,Anodontia,bullula,Lucinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,2.5,Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45,NA,omnivore,filter feeding bivalve,Non-migratory,sessile,1-10,"PLD unknown, benthic species with planktonic larvae",pelagic development,Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus,No,unheard of for marine bivalves,,No,unheard of for marine bivalves,,non-highland specialist,intertidal,benthic,,NA,Anodontia_bullula,"max, min"
Jenn,Cerastoderma,edule,Cardiidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,1.82,Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619,mean shell length,omnivore,filter feeding bivalve,Non-migratory,sessile,10-100,"PLD 3-5 weeks - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks, benthic species, settle after 3 months https://hal.archives-ouvertes.fr/file/index/docid/581394/filename/Synthesis_on_biology_of_Europeen_cockle.pdf",pelagic development and sessile adults,Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577,No,unheard of for marine bivalves,,No,unheard of for marine bivalves,,non-highland specialist,intertidal,benthic,,NA,Cerastoderma_edule,"max, min"
Jenn,Divaricella,irpex,Lucinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,1.388,Compton et al. (2008) Journal of Experimental Marine Biology and Ecology 361(2): 104-110,mean shell length,omnivore,filter feeding bivalve,Non-migratory,sessile,NA,no info,NA,no info,No,unheard of for marine bivalves,,No,unheard of for marine bivalves,,non-highland specialist,intertidal,benthic,,NA,Divaricella_irpex,"max, min"
Jenn,Macoma,balthica,Tellinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,2.5,Gilbert (1973) The Biological Bulletin 145(1): 119-126,NA,omnivore,filter feeding bivalve,Non-migratory,sessile,1-10,"PLD unknown, benthic  species with planktonic larvae - Van Colen, C., Lenoir, J., De Backer, A., Vanelslander, B., Vincx, M., Degraer, S., & Ysebaert, T. (2009). Settlement of Macoma balthica larvae in response to benthic diatom films. Marine Biology, 156(10), 2161-2171., Beukema and de Vlas (1989) Marine Ecology Progress Series 52: 193-200",pelagic development and sessile adults,Beukema and de Vlas (1989) Marine Ecology Progress Series 52: 193-200,No,unheard of for marine bivalves,,No,unheard of for marine bivalves,,non-highland specialist,intertidal,benthic,,NA,Macoma_balthica,"max, min"
Jenn,Mya,arenaria,Myidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,8,Gerasimova et al. (2016) Marine Research 70(1): 6 ,NA,omnivore,filter feeding bivalve,Non-migratory,sessile,10-100,Shanks (2009) The biological bulletin 216(3): 373-385,pelagic development and sessile adults,Brousseau (1978). Fish.Bull. 76(1): 155-166; planktonic larvae,No,unheard of for marine bivalves,,No,unheard of for marine bivalves,,non-highland specialist,intertidal,benthic,,NA,Mya_arenaria,max
Jenn,Spisula,subtruncata,Mactridae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,NA,NA,NA,omnivore,filter feeding bivalve,Non-migratory,sessile,10-100,"PLD seems to be one month, benthic species with pelagic larvae - Cardoso et al. (2007)",pelagic development and sessile adults,Cardoso et al. (2007) Journal of Sea Research 57(4): 316-324; data suggest a larval settlement time of 1 month,No,unheard of for marine bivalves,,No,unheard of for marine bivalves,,non-highland specialist,intertidal,benthic,,NA,Spisula_subtruncata,max
Jenn,Tellina,tenuis,Tellinidae,Intertidal,Animalia,Mollusca,Bivalvia,Veneroida,2.6,"Dekker & Beukema (1999) Journal of Sea Research, 42(3): 207-220",NA,omnivore,filter feeding bivalve,Non-migratory,sessile,10-100,"PLD seems less than a month, benthic species with pelagic larvae- Barnett, P. R. (1985). The effect of temperature on the growth of planktonic larvae of Tellina tenuis da Costa. Journal of experimental marine biology and ecology, 89(1), 1-10.",pelagic development and sessile adults,"pelagic planktotrophic larval stage - Barnett, P. R. (1985). The effect of temperature on the growth of planktonic larvae of Tellina tenuis da Costa. Journal of experimental marine biology and ecology, 89(1), 1-10.",No,unheard of for marine bivalves,,No,unheard of for marine bivalves,,non-highland specialist,intertidal,benthic,,NA,Tellina_tenuis,max
Jenn,Nacella,concinna,Patellidae,Intertidal,Animalia,Mollusca,Gastropoda,Archaeogastropoda,6,sealifebase,NA,omnivore,"Kim (2001) ""Seasonality of marine algae and grazers of an Antarctic rocky intertidal, with emphasis On the role of the limpet Nacella concinna Strebel (Gastropoda: Patellidae)""",Non-migratory,taxa,10-100,"PLD 1 month, benthic species with planktonic larvae - Picken, G. B. (1980). The distribution, growth, and reproduction of the Antarctic limpet Nacella (Patinigera) concinna (Strebel, 1908). Journal of experimental marine biology and ecology, 42(1), 71-85.",pelagic development and crawling adults,"pelagic larval stage - Picken, G. B. (1980). The distribution, growth, and reproduction of the Antarctic limpet Nacella (Patinigera) concinna (Strebel, 1908). Journal of experimental marine biology and ecology, 42(1), 71-85.",No,unheard of for marine gastropods,,No,unheard of for marine gastropods,,non-highland specialist,intertidal,benthic,,NA,Nacella_concinna,"max, min"
Jenn,Nucella,lapillus,Muricidae,Intertidal,Animalia,Mollusca,Gastropoda,Archaeogastropoda,4.2,sealifebase,NA,carnivore,Vasileios and Andrews (2000) Malacologia 42(1-2): 103-112,Non-migratory,taxa,10-100,Colson and Hughes (2004) Molecular Ecology 13(8): 2223-2233,pelagic development,Colson and Hughes (2004) Molecular Ecology 13(8): 2223-2233,No,unheard of for marine gastropods,,No,unheard of for marine gastropods,,non-highland specialist,intertidal,benthic,,NA,Nucella_lapillus,"max, min"
Jenn,Littorina,littorea,Littorinidae,Intertidal,Animalia,Mollusca,Gastropoda,Neotaenioglossa,4.2,sealifebase,NA,herbivore,Imrie et al. (1989) Journal of Molluscan Studies 55(2): 217–225,Non-migratory,taxa,10-100,Shanks et al. (2003) Ecological Applications 13(1): 159–169,pelagic development and crawling adults,Johannesson (1988) Marine Biology 99: 507-513,No,unheard of for marine gastropods,,No,unheard of for marine gastropods,,non-highland specialist,intertidal,benthic,,NA,Littorina_littorea,"max, min"
Jenn,Littorina,obtusata,Littorinidae,Intertidal,Animalia,Mollusca,Gastropoda,Neotaenioglossa,1.3,sealifebase,NA,herbivore,Coleman et al. (2007) Oecologia 151(3): 454-463,Non-migratory,taxa,10-100,Ingolfsson (1995) Marine Biology 122: 13-21; rafting on seaweed,non-pelagic development and crawling adults,Mileikovsky (1975) Marine Biology 30: 129-135; direct development,No,unheard of for marine gastropods,,No,unheard of for marine gastropods,,non-highland specialist,intertidal,benthic,,NA,Littorina_obtusata,"max, min"
Jenn,Littorina,saxatilis,Littorinidae,Intertidal,Animalia,Mollusca,Gastropoda,Neotaenioglossa,1.9,sealifebase,NA,herbivore,Shumway et al. (1993) 106(2): 391-395,Non-migratory,taxa,10-100,Ingolfsson (1995) Marine Biology 122: 13-21; rafting on seaweed,non-pelagic development and crawling adults,Mileikovsky (1975) Marine Biology 30: 129-135; viviparity,No,unheard of for marine gastropods,,No,unheard of for marine gastropods,,non-highland specialist,intertidal,benthic,,NA,Littorina_saxatilis,"max, min"
Jenn,Ischnochiton,australis,Ischnochitonidae,Intertidal,Animalia,Mollusca,Polyplaclophora,Chitonida,NA,NA,NA,herbivore,Sigwart and Schwabe (2017) Invertebrate Zoology 14(2): 205–216,Non-migratory,taxa,1-10,"PLD hours to days, lecithotrophic larvae - Palmer (2011) Austral Ecology 37(1): 110-124",pelagic development,Palmer (2011) Austral Ecology 37(1): 110-124,No,no info - based on taxa,,No,no info - based on taxa,,non-highland specialist,intertidal,benthic,,NA,Ischnochiton_australis,max
Jenn,Crangon,crangon,Crangonidae,Marine,Animalia,Arthropoda,Malacostraca,Decapoda,8.9,sealifebase,TL male/unsexed,carnivore,sealifebase,Non-migratory,taxa,10-100,http://www.marlin.ac.uk/biotic/browse.php?sp=4599,pelagic development,planktotrophic larvae - http://www.marlin.ac.uk/biotic/browse.php?sp=4599,NA,NA,,No,no info,,non-highland specialist,marine,benthic,sealifebase,NA,Crangon_crangon,max
Jenn,Liocarcinus,marmoreus,Portunidae,Marine,Animalia,Arthropoda,Malacostraca,Decapoda,3,Robinson et al. (2010) Journal of the Marine Biological Association of the United Kingdom 90(1): 95-104,CW maximum,carnivore,EOL,Non-migratory,taxa,10-100,"PLD unk, benthic crustacean with planktonic larvae",pelagic development,"larval pelagic phase - Giomi, F., Raicevich, S., Ferrarese, A., Pranovi, F., Di Muro, P., & Beltramini, M. (2007). Structural and functional heterogeneity of hemocyanin: intra-and inter-specific comparison in four species of portunid crabs (Crustacea: Portunidae). Marine biology, 151(4), 1237-1247.",NA,NA,,No,no info,,non-highland specialist,marine,benthic,EOL,NA,Liocarcinus_marmoreus,max
Jenn,Metacarcinus,magister,Cancridae,Marine,Animalia,Arthropoda,Malacostraca,Decapoda,22.5,sealifebase,CW male/unsexed,omnivore,Yamada et al. (2010) Journal of Shellfish Research 29(2):471-477,Non-migratory,taxa,10-100,"PLD 80 days, benthic crustacean with planktonic larvae - Rasmuson, L. K. (2013). The biology, ecology and fishery of the Dungeness crab, Cancer magister. In Advances in marine biology (Vol. 65, pp. 95-148). Academic Press.",pelagic development,"planktonic larval stage - Rasmuson, L. K., & Shanks, A. L. (2020). Revisiting cross-shelf transport of Dungeness crab (Metacarcinus magister) megalopae by the internal tide using 16 years of daily abundance data. Journal of Experimental Marine Biology and Ecology, 527, 151334.",NA,NA,,No,no info,,non-highland specialist,marine,benthic,EOL,NA,Metacarcinus_magister,max
Jenn,Liothyrella,uva,Terebratulidae,Marine,Animalia,Brachiopoda,Articulata,Terebratulida,5,Peck and Holmes (1989) Journal of Experimental Marine Biology and Ecology 133(1–2):141-150,maximum shell length,omnivore,deposit feeder,Non-migratory,taxa,100+,"PLD 45 days, open ocean species with planktonic larvae- Peck, L. S., & Robinson, K. (1994). Pelagic larval development in the brooding Antarctic brachiopod Liothyrella uva. Marine Biology, 120(2), 279-286.; Barnes, D. K., & Peck, L. S. (1996). Epibiota and attachment substrata of deep-water brachiopods from Antarctica and New Zealand. Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences, 351(1340), 677-687.",pelagic development,"planktonic larval stage - Peck, L. S., & Robinson, K. (1994). Pelagic larval development in the brooding Antarctic brachiopod Liothyrella uva. Marine Biology, 120(2), 279-286.",NA,NA,,No,no info,,non-highland specialist,marine,benthic,sealifebase,NA,Liothyrella_uva,max
Jenn,Liothyrella,neozelanica,Terebratulidae,Marine,Animalia,Brachiopoda,Rhynchonellata,Terebratulida,5,Baird et al. (2013) Biological Bulletin 25(3):125-36,,omnivore,deposit feeder,Non-migratory,taxa,0-1,"broods larvae - Chuang, S. H. (1994). Observations on the reproduction and development of Liothyrella neozelanica Thomson 1918 (Terebratulacea, Articulata, Brachiopoda). Journal of the Royal Society of New Zealand, 24(2), 209-218.",non-pelagic devepment and crawling adults,larval brooding ,NA,NA,,No,no info,,non-highland specialist,marine,benthic,sealifebase,NA,Liothyrella_neozelanica,max
Sally,Menidia,menidia,Atherinopsidae,Marine,Animalia,Chordata,Actinopterygii,Atheriniformes,15,fishbase,,carnivore,fishbase,Migratory,oceanodromous,10-100,migrates,migrating adults,migrates,No,unheard of for fish,,No,unheard of for fish,,non-highland specialist,marine,pelagic,NA,NA,Menidia_menidia,"max, min"
Sally,Clupea,harengus,Clupeidae,Marine,Animalia,Chordata,Actinopterygii,Clupeiformes,45,fishbase,,carnivore,optional zooplanktivorous filter-feeder (fishbase),Migratory,"oceanodromous - Kanwit, J. K., & Libby, D. A. (2008). Seasonal movements of Atlantic herring (Clupea harengus): results from a four year tagging study conducted in the Gulf of Maine and Southern New England. Journal of Northwest Atlantic Fishery Science, 40.",100+,"Kanwit, J. K., & Libby, D. A. (2008). Seasonal movements of Atlantic herring (Clupea harengus): results from a four year tagging study conducted in the Gulf of Maine and Southern New England. Journal of Northwest Atlantic Fishery Science, 40.",pelagic development,"pelagic larvae - Deschepper, I., Lyons, K., Lyashevska, O., & Brophy, D. (2020). Biophysical models reveal the role of tides, wind, and larval behaviour in early transport and retention of Atlantic herring (Clupea harengus) in the Celtic Sea. Canadian Journal of Fisheries and Aquatic Sciences, 77(1), 90-107.",No,unheard of for fish,,No,unheard of for fish,,non-highland specialist,marine,benthopelagic,fishbase,NA,Clupea_harengus,max
Sally,Engraulis,japonicus,Engraulidae,Marine,Animalia,Chordata,Actinopterygii,Clupeiformes,18,fishbase,,omnivore,fishbase,Migratory,oceanodromous,10-100,migrates,migrating adults,migrates,No,unheard of for fish,,No,unheard of for fish,,non-highland specialist,marine,pelagic,NA,NA,Engraulis_japonicus,"max, min"
Sally,Fundulus,parvipinnis,Fundulidae,Marine,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,10.8,fishbase,,omnivore,Hayman et al (2020) Journal of Experimental Marine Biology and Ecology 524: 151319,Non-migratory,no info,1-10,"guess - short larval development, genetics suggest limited dispersal",non-pelagic development and crawling adults,"Bernardi, G., & Talley, D. (2000). Genetic evidence for limited dispersal in the coastal California killifish, Fundulus parvipinnis. Journal of Experimental Marine Biology and Ecology, 255(2), 187-199.",No,unheard of for fish,,No,unheard of for fish,,non-highland specialist,marine,benthopelagic,NA,NA,Fundulus_parvipinnis,"max, min"
