Realm,Genus,Species,data_gatherer,habitat_data_gatherer,Kingdom,Phylum,Class,Order,Family,maximum_body_size_SVL_HBL_cm_,Source_for_maximum_body_size,notes_on_body_size_e_g_type_of_metric_,Trophic_position,Source_logic_for_trophic_position,migratory_,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_,logic_source_for_dispersal_type,cold_season_dormancy_,source_logic_for_cold_season_dormancy,notes_for_cold_season_dormancy,hot_season_dormancy_,source_logic_for_hot_season_dormancy,notes_for_hot_season_dormancy,highland_specialist,source_logic_for_highland_specialist,coastal_or_oceanic,notes_logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,lower_elevation_limit_meters,upper_elevation_limit_meters,elevational_range_source,pelagic_habitat_for_marine_species,source_logic_for_pelagic_habitat,genus_species,limit_type,notes,newly_added
Terrestrial,Anolis,marcanoi,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,6.5,Meiri 2008,max adult SVL,insectivore,10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably none disperse more than 1km in a single generation, generally",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,200,1800,IUCN,NA,terrestrial,Anolis_marcanoi,max,NA,NA
Terrestrial,Anolis,oculatus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,9.6,Meiri 2008,max adult SVL,insectivore,10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably none disperse more than 1km in a single generation, generally",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,914,IUCN,NA,terrestrial,Anolis_oculatus,max,NA,NA
Terrestrial,Anolis,pulchellus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,5.1,Meiri 2008,max adult SVL,insectivore,10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Gorman, G. C., & Harwood, R. (1977). Notes on population density, vagility, and activity patterns of the Puerto Rican grass lizard, Anolis pulchellus (Reptilia, Lacertilia, Iguanidae). Journal of Herpetology, 363-368.",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,945,IUCN,NA,terrestrial,Anolis_pulchellus,max,NA,NA
Terrestrial,Anolis,roquet,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,8.6,Meiri 2008,max adult SVL,insectivore,10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably none disperse more than 1km in a single generation, generally",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1370,IUCN,NA,terrestrial,Anolis_roquet,max,NA,NA
Terrestrial,Anolis,semilineatus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,4.7,Meiri 2008,max adult SVL,insectivore,10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably none disperse more than 1km in a single generation, generally",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,-20,1700,IUCN,NA,terrestrial,Anolis_semilineatus,max,"Found around islands, mangroves (range data from Schwartz and Henderson 1991)",NA
Terrestrial,Anolis,shrevei,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,6,Meiri 2008,max adult SVL,insectivore,10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably none disperse more than 1km in a single generation, generally",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Anolis_shrevei,max,NA,NA
Terrestrial,Anolis,stratulus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,5,Meiri 2008,max adult SVL,insectivore,10.1093/beheco/14.3.409 note that all polychrotids except perhaps one are insectivores. That one is evermanni,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably none disperse more than 1km in a single generation, generally",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,950,IUCN,NA,terrestrial,Anolis_stratulus,max,NA,NA
Terrestrial,Anomalopus,brevicollis,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,8.3,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably none disperse more than 1km in a single generation, generally",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,Based on type locality,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Anomalopus_brevicollis,max,"This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method",NA
Terrestrial,Anomalopus,leuckartii,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,13.7,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably none disperse more than 1km in a single generation, generally",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,Based on type locality,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Anomalopus_leuckartii,max,"This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method, This species is fossorial and legless hence ""walking"" may not be an accurate description of its dispersal method",NA
Terrestrial,Arizona,elegans,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,178,ADW U of Michigan,max total length,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably none disperse more than 1km in a single generation, generally",slithering,Squamate slithering tetrapod,No,no info - based on climate (southern NA),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2200,NatureServe Explorer,NA,terrestrial,Arizona_elegans,max,NA,NA
Terrestrial,Austrelaps,superbus,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Elapidae,7.3,Shine (1987) Journal of Herpetology 21(1): 21-28,mean SVL,carnivore,Dowde (2012) Australian Journal of Zoology 60(3): 159-165,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Shine, R. (1979). Activity patterns in australian elapid snakes (Squamata: Serpentes: Elapidae). Herpetologica, 1-11.",slithering,Squamate slithering tetrapod,Yes,"Fitzgerald, M., Shine, R., & Lemckert, F. (2003). A reluctant heliotherm: thermal ecology of the arboreal snake Hoplocephalus stephensii (Elapidae) in dense forest. Journal of Thermal Biology, 28(6-7), 515-524.",inactive in the winter,No,no info - based on climate,,non-highland specialist,"Shine, R. (1979). Activity patterns in australian elapid snakes (Squamata: Serpentes: Elapidae). Herpetologica, 1-11.",NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Austrelaps_superbus,"max, min",NA,NA
Terrestrial,Basiliscus,vittatus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Corytophanidae,22.5,Meiri 2008,max adult SVL,omnivore,10.1890/0012-9658(2002)083[1870:LHRREO]2.0.CO;2,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate (neo-tropical),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,1500,IUCN,NA,terrestrial,Basiliscus_vittatus,max,NA,NA
Terrestrial,Bassiana,duperreyi,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,8,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"Carthew, S. M., Horner, B., & Jones, K. M. (2009). Do utility corridors affect movements of small terrestrial fauna?. Wildlife Research, 36(6), 488-495.",walking,Squamate walking tetrapod,Yes,no info - based on climate,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Bassiana_duperreyi,"max, min","Bassiana is listed as a synonym for Acritoscincus on Reptile Database, Bassiana is listed as a synonym for Acritoscincus on Reptile Database & IUCN",NA
Terrestrial,Bassiana,platynota,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,8,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate (australia),,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Bassiana_platynota,max,"Bassiana is listed as a synonym for Acritoscincus on Reptile Database, Bassiana is listed as a synonym for Acritoscincus on Reptile Database & IUCN",NA
Terrestrial,Calyptotis,temporalis,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,3.6,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate (australia),,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Calyptotis_temporalis,max,NA,NA
Terrestrial,Carlia,longipes,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,6.64,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate (australia),,No,no info - based on climate,,non-highland specialist,http://reptile-database.reptarium.cz/species?genus=Carlia&species=longipes,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Carlia_longipes,max,NA,NA
Terrestrial,Carlia,munda,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,4.4,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on congeners ,,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Carlia_munda,max,NA,NA
Terrestrial,Carlia,pectoralis,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,6.4,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on congeners ,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Carlia_pectoralis,max,NA,NA
Terrestrial,Carlia,rhomboidalis,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,6.1,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on congeners ,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Carlia_rhomboidalis,max,NA,NA
Terrestrial,Carlia,vivax,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Scincidae,4.7,Meiri 2008,max adult SVL,insectivore,guess based on others in family,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on congeners ,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Carlia_vivax,max,NA,NA
Terrestrial,Chamaeleo,dilepis,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,8.7,Meiri 2008,max adult SVL,insectivore,Reaney et al. 2012,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,"O'Donoghue, T. L. (2019). Habitat utilisation of Flap-Necked Chameleons (Chamaeleo dilepis) on the Telperion Nature Reserve, Mpumalanga province, South Africa (Doctoral dissertation).",walking,Squamate walking tetrapod,Yes,"O’Donoghue, T. L., Slater, K., & Brown, L. R. (2020). Seasonal habitat utilisation and morphological characteristics of Chamaeleo dilepis on Telperion Nature Reserve, Mpumalanga, South Africa. African Journal of Herpetology, 1-18.",assumed to go into brumination based on absence during cold period,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2600,IUCN,NA,terrestrial,Chamaeleo_dilepis,"max, min",NA,NA
Terrestrial,Chamaeleo,jacksonii,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,38,"S. Spawls, K. Howell, R. Drewes, J. Ashe 2002 Reptiles of East Africa",NA,insectivore,Kraus & Preston 2016,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Lin, J., & Nelson, C. E. (1980). Comparative Reproductive Biology of Two Sympatric Tropical Lizards Chamaeleo jacksonii BOULENGER and Chamaeleo hoehnelii STEINDACHNER (Sauria: Chamaeleonidae), Amphibia-Reptilia, 1(3), 287-311. doi: https://doi.org/10.1163/156853881X00393",mention of hibernation,No,no info - based on climate,,highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,1500,3200,IUCN,NA,terrestrial,Chamaeleo_jacksonii,"max, min",NA,NA
Terrestrial,Charina,bottae,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Boidae,59.275,Hoyer (1974) Herpetologica 30(3): 275-283,mean adult length,carnivore,Hill et al. (2005) Herpetological Review 36(2): 189-190,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",slithering,Squamate slithering tetrapod,Yes,"Dorcas, M. E., & Peterson, C. R. (1998). Herpetologica, 88-103.",,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,3050,IUCN,NA,terrestrial,Charina_bottae,max,NA,NA
Terrestrial,Chionactis,occipitalis,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,24.79,Goldberg (1997) Great Basin Naturalist 57(1): 85-87,mean SVL,insectivore,"Glass, J. K. (1972). Feeding behavior of the western shovel-nosed snake, Chionactis occipitalis klauberi, with special reference to scorpions. The Southwestern Naturalist, 16(3/4), 445-447.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",slithering,Squamate slithering tetrapod,Yes,"Norris, K. S., & Kavanau, J. L. (1966). Copeia, 650-664.",,No,"Norris, K. S., & Kavanau, J. L. (1966). The burrowing of the western shovel-nosed snake, Chionactis occipitalis Hallowell, and the undersand environment. Copeia, 650-664.",emerges at night during summer,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Chionactis_occipitalis,max,NA,NA
Terrestrial,Chondrodactylus,angulifer,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,11.3,Meiri 2008,max adult SVL,insectivore,http://www.jstor.org/stable/1443698,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,"Pianka, E. R., & Huey, R. B. (1978). Copeia, 691-701.",brumation,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Chondrodactylus_angulifer,max,"No data available- assumptions based on similar species/sympatric species of other families, No data available- assumptions based on similar species/sympatric species of other families",NA
Terrestrial,Chondrodactylus,bibronii,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,10,Meiri 2008,max adult SVL,insectivore,http://www.jstor.org/stable/1443698,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,no info - based on congener,,No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Chondrodactylus_bibronii,max,NA,NA
Terrestrial,Coleonyx,brevis,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,6.66,Meiri 2008,max adult SVL,insectivore,http://www.jstor.org/stable/1563409,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,"Dial, B. E. (1978). The thermal ecology of two sympatric, nocturnal Coleonyx (Lacertilia: Gekkonidae). Herpetologica, 194-201.","no mention of hibernation/brumination, ""low temperatures in the winter and spring and late at night in the summer probably re-duce metabolic activity and efficiency considerably"", hide under flat rocks",No,no info - based on climate,,non-highland specialist,Based on range,NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Coleonyx_brevis,"max, min",NA,NA
Terrestrial,Coleonyx,variegatus,Adam A,Sarah,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,7.7,Meiri 2008,max adult SVL,insectivore,http://www.jstor.org/stable/1442544,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,http://www.desertusa.com/reptiles/western-banded-gecko.html,,No,no info - based on climate,,non-highland specialist,Personal observation below 1000m,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2000,NatureServe Explorer,NA,terrestrial,Coleonyx_variegatus,"max, min",NA,NA
Terrestrial,Coluber,constrictor,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Colubridae,191,ADW U of Michigan,max average adult body length,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,"Brown, W. S., & Parker, W. S. (1976). Movement ecology of Coluber constrictor near communal hibernacula. Copeia, 225-242.",slithering,Squamate slithering tetrapod,Yes,"Neill, W. T. (1948). Herpetologica, 4(3), 107-114.",hibernates,No,"Lillywhite, H. B. (1985). Trailing movements and sexual behavior in Coluber constrictor. Journal of herpetology, 19(2), 306-308.",crepuscular activity during hot season,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2438,Snake Database,NA,terrestrial,Coluber_constrictor,max,NA,NA
Terrestrial,Cophosaurus,texanus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Iguanidae,7.07,Meiri 2008,max adult SVL,insectivore,"Maury, M. E. (1995). Diet composition of the greater earless lizard (Cophosaurus texanus) in central Chihuahuan desert. Journal of Herpetology, 266-272.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,Yes,ADW,hibernates,No,no info - based on climate,,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2100,NatureServe Explorer,NA,terrestrial,Cophosaurus_texanus,"max, min",NA,NA
Terrestrial,Cordylus,cordylus,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Cordylidae,9.8,Meiri 2008,max adult SVL,insectivore,"Wirminghaus, J. O. (1990). Observations on the behaviour of the Cape girdled lizard Cordylus cordylus (Reptilia: Cordylidae). Journal of Natural History, 24(6), 1617-1627.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,"Cooper, W. E., Van Wyk, J. H., & Mouton, P. L. F. (1999). Discrimination between self-produced pheromones and those produced by individuals of the same sex in the lizard Cordylus cordylus. Journal of Chemical Ecology, 25(1), 197-208.",NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Cordylus_cordylus,"max, min",NA,NA
Terrestrial,Cordylus,niger,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Cordylidae,9.2,Meiri 2008,max adult SVL,insectivore,"Clusella-Trullas, S., & Botes, A. (2008). Faecal analysis suggests generalist diets in three species of Western Cape cordylids. African Zoology, 43(1), 125-130.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,"Clusella-Trullas, S., Wyk, J. H., & Spotila, J. R. (2009). Thermal benefits of melanism in cordylid lizards: a theoretical and field test. Ecology, 90(8), 2297-2312.",NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Cordylus_niger,"max, min",NA,NA
Terrestrial,Cordylus,oelofseni,Ignacio,Sarah,Animalia,Chordata,Reptilia,Squamata,Cordylidae,6.9,Meiri 2008,max adult SVL,insectivore,"Clusella-Trullas, S., & Botes, A. (2008). Faecal analysis suggests generalist diets in three species of Western Cape cordylids. African Zoology, 43(1), 125-130.",Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",0-1,"No data on this in most species however presumably most do not disperse more than 1km in a single generation (exceptions: Iguana iguana, Varanus)",walking,Squamate walking tetrapod,No,no info - based on climate,,No,no info - based on climate,,non-highland specialist,"Clusella-Trullas, S., Wyk, J. H., & Spotila, J. R. (2009). Thermal benefits of melanism in cordylid lizards: a theoretical and field test. Ecology, 90(8), 2297-2312.",NA,terrestrial,NA,NA,NA,NA,terrestrial,NA,NA,NA,NA,terrestrial,Cordylus_oelofseni,"max, min",NA,NA
Terrestrial,Crotalus,atrox,Miguel R.,Sarah,Animalia,Chordata,Reptilia,Squamata,Viperidae,150,ADW U of Michigan,body length,carnivore,ADW U of Michigan,Non-migratory,"there is little research on reptile migration (aside from turtles and some snakes) and for the species there is information, migrations are very limited so by default lizard species are assigned non-migratory behaviour",1-10,"Nowak, E. M., Hare, T. R. E. V. O. R., & McNally, J. U. D. E. (2002). Management of ‘‘nuisance’’vipers: effects of translocation on Western Diamond-backed Rattlesnakes (Crotalus atrox). Biology of the Vipers, 2002, 533-560.",walking,Squamate slithering tetrapod,Yes,"Schuett, G. W., Repp, R. A., Taylor, E. N., DeNardo, D. F., Earley, R. L., Van Kirk, E. A., & Murdoch, W. J. (2006). General and Comparative Endocrinology, 149(1), 72-80.",,No,"Taylor, E. N., & DeNardo, D. F. (2005). Reproductive ecology of western diamond-backed rattlesnakes (Crotalus atrox) in the Sonoran Desert. Copeia, 2005(1), 152-158.",active season in summer,non-highland specialist,IUCN,NA,terrestrial,NA,NA,NA,NA,terrestrial,0,2500,Snake Database,NA,terrestrial,Crotalus_atrox,max,NA,NA
